DATE, TIME, FPC, PIC, ENCAP_BYTES, ENCAP_PKTS, DECAP_BYTES, DECAP_PKTS

2021-04-08,00:00,FPC0,PIC0:,271579427344,19910387818,212005046,82943598
2021-04-08,00:00,FPC0,PIC1:,543822793160,42765743512,427004779,168515389
2021-04-08,00:05,FPC0,PIC0:,257588998992,19416060354,202226358,80424862
2021-04-08,00:05,FPC0,PIC1:,524032175200,41288588944,413440633,162556527
2021-04-08,00:10,FPC0,PIC0:,247228469280,17484563882,192827490,75290029
2021-04-08,00:10,FPC0,PIC1:,505449412512,37098337377,396962582,153335785
2021-04-08,00:15,FPC0,PIC0:,238801105912,17354579996,186549207,73489440
2021-04-08,00:15,FPC0,PIC1:,485076351720,34901171701,380920443,145089106
2021-04-08,00:20,FPC0,PIC0:,250649893400,16886948757,195989249,71386382
2021-04-08,00:20,FPC0,PIC1:,461393666064,33765764788,362805064,138635107
2021-04-08,00:25,FPC0,PIC0:,221895340480,15510847101,173159272,66628488
2021-04-08,00:25,FPC0,PIC1:,451981402400,32625008793,353747780,134917642
2021-04-08,00:30,FPC0,PIC0:,209140022552,14822641512,162954043,63492811
2021-04-08,00:30,FPC0,PIC1:,433214918624,30936698776,338848518,129456141
2021-04-08,00:35,FPC0,PIC0:,206617998176,15017837377,160873400,62316791
2021-04-08,00:35,FPC0,PIC1:,412852799768,30286655282,323276507,123322582
2021-04-08,00:40,FPC0,PIC0:,199816717408,13285817905,154930850,59588700
2021-04-08,00:40,FPC0,PIC1:,388279875504,28508491577,304011766,117644377
2021-04-08,00:45,FPC0,PIC0:,193977430448,12920030377,150746658,58392707
2021-04-08,00:45,FPC0,PIC1:,377219084000,27241936968,293647106,113915344
2021-04-08,00:50,FPC0,PIC0:,184545147024,12823191785,143698164,56488145
2021-04-08,00:50,FPC0,PIC1:,363671153368,26896729195,283747461,110905144
2021-04-08,00:55,FPC0,PIC0:,175655090296,12178522533,136593989,53191053
2021-04-08,00:55,FPC0,PIC1:,351904546136,25503520863,274183607,107272908
2021-04-08,01:00,FPC0,PIC0:,164237482376,11097900861,128393457,50989909
2021-04-08,01:00,FPC0,PIC1:,331364358376,25668142494,258662111,102836367
2021-04-08,01:05,FPC0,PIC0:,155832972968,11132692225,122452697,50362309
2021-04-08,01:05,FPC0,PIC1:,317113864728,24206446067,247850589,98317422
2021-04-08,01:10,FPC0,PIC0:,150018453280,10662714864,116891534,47812227
2021-04-08,01:10,FPC0,PIC1:,300655790832,23072538830,235475876,93172914
2021-04-08,01:15,FPC0,PIC0:,142840241104,9626789988,111471944,44763941
2021-04-08,01:15,FPC0,PIC1:,291694676064,21440571795,227797036,88981759
2021-04-08,01:20,FPC0,PIC0:,134482615880,8995672512,105282379,42131789
2021-04-08,01:20,FPC0,PIC1:,276590591264,22057840208,216499260,87027662
2021-04-08,01:25,FPC0,PIC0:,128981148816,9690862172,101226410,41214152
2021-04-08,01:25,FPC0,PIC1:,261482473216,22128526151,205439514,84336587
2021-04-08,01:30,FPC0,PIC0:,123658729680,9283044674,96897618,39559286
2021-04-08,01:30,FPC0,PIC1:,256339786712,19995913418,201274123,80837686
2021-04-08,01:35,FPC0,PIC0:,115483006632,8702095125,90949125,37615367
2021-04-08,01:35,FPC0,PIC1:,241966800664,18742254599,191114431,76288817
2021-04-08,01:40,FPC0,PIC0:,111254005616,7883458505,87478924,35581578
2021-04-08,01:40,FPC0,PIC1:,228464206712,17202864039,180006777,72327162
2021-04-08,01:45,FPC0,PIC0:,104016407112,7802231352,82351231,34227034
2021-04-08,01:45,FPC0,PIC1:,221321917056,16863964232,174529260,70744550
2021-04-08,01:50,FPC0,PIC0:,95287219816,8153102456,76198065,33196164
2021-04-08,01:50,FPC0,PIC1:,210173520448,15469364305,165573254,67724232
2021-04-08,01:55,FPC0,PIC0:,93973557592,7934875836,74798385,31699341
2021-04-08,01:55,FPC0,PIC1:,201243128800,15588080295,159276208,65862006
2021-04-08,02:00,FPC0,PIC0:,88502476536,7523804142,70833425,30353190
2021-04-08,02:00,FPC0,PIC1:,187492421536,15012268264,149597426,62104285
2021-04-08,02:05,FPC0,PIC0:,85247889672,7913185710,69005321,30065803
2021-04-08,02:05,FPC0,PIC1:,185452139992,15945355281,149136779,63349432
2021-04-08,02:10,FPC0,PIC0:,79616397288,6871676635,64547173,28256453
2021-04-08,02:10,FPC0,PIC1:,176519540000,16280390280,142270314,61726509
2021-04-08,02:15,FPC0,PIC0:,78386627216,7284584152,63469606,27462699
2021-04-08,02:15,FPC0,PIC1:,174834530528,17344398794,141366032,61362190
2021-04-08,02:20,FPC0,PIC0:,75780412216,6557817400,61236025,26474632
2021-04-08,02:20,FPC0,PIC1:,167618337512,16206877161,135528551,59257728
2021-04-08,02:25,FPC0,PIC0:,74260354776,6731179555,59887333,25928979
2021-04-08,02:25,FPC0,PIC1:,160548178712,15644048961,130902529,57678619
2021-04-08,02:30,FPC0,PIC0:,70269852608,5920010923,57025096,25055682
2021-04-08,02:30,FPC0,PIC1:,154500886504,14739613340,126921281,56310862
2021-04-08,02:35,FPC0,PIC0:,70207823152,6519613543,57020470,25431029
2021-04-08,02:35,FPC0,PIC1:,145618165552,15538792688,120801190,55357316
2021-04-08,02:40,FPC0,PIC0:,64146099880,6258635558,52597213,24207229
2021-04-08,02:40,FPC0,PIC1:,137047414656,14607638779,114350030,53338462
2021-04-08,02:45,FPC0,PIC0:,62693637376,7116542205,52106706,24357252
