DATE, TIME, FPC, PIC, ENCAP_BYTES, ENCAP_PKTS, DECAP_BYTES, DECAP_PKTS

2021-04-02,11:45,FPC0,PIC0:,289136542267944,34030813786460,268162634461,125491933374
2021-04-02,11:45,FPC0,PIC1:,535288078566232,63002013206683,496595874659,235263200892
2021-04-02,11:45,FPC1,PIC0:,556098412426264,66604576147486,512824794483,240992209423
2021-04-02,11:45,FPC1,PIC1:,556320682131040,67336002641366,516645177550,244222279409
2021-04-02,11:50,FPC0,PIC0:,149481216576,21069840350,150441920,78259293
2021-04-02,11:50,FPC0,PIC1:,283954721704,40752661947,287425131,152797142
2021-04-02,11:50,FPC1,PIC0:,286566045760,42193650593,290511074,155004507
2021-04-02,11:50,FPC1,PIC1:,292689557880,41784500539,298353133,160111461
2021-04-02,11:55,FPC0,PIC0:,149933292696,20562824535,151069853,78113538
2021-04-02,11:55,FPC0,PIC1:,283606982624,40351815405,286083638,151782840
2021-04-02,11:55,FPC1,PIC0:,288943059984,40608005562,289500972,153059855
2021-04-02,11:55,FPC1,PIC1:,298253487424,41323607867,301497796,159922437
2021-04-02,12:00,FPC0,PIC0:,149661572280,20576051689,149620547,77374186
2021-04-02,12:00,FPC0,PIC1:,287352886152,39570005426,287689589,151099041
2021-04-02,12:00,FPC1,PIC0:,293569197312,38987632062,290938746,150751958
2021-04-02,12:00,FPC1,PIC1:,288446265864,40482693640,293768065,156694287
2021-04-02,12:05,FPC0,PIC0:,153031153848,20366797149,151319653,77763410
2021-04-02,12:05,FPC0,PIC1:,289882489944,39064834781,290289831,153092233
2021-04-02,12:05,FPC1,PIC0:,292372888992,40034232076,291644294,152854004
2021-04-02,12:05,FPC1,PIC1:,296202175624,42214948332,299219247,158413287
2021-04-02,12:10,FPC0,PIC0:,154524518328,20153662798,152895497,79359591
2021-04-02,12:10,FPC0,PIC1:,297369867400,40458797688,295369035,153252573
2021-04-02,12:10,FPC1,PIC0:,301985793888,39937562074,298081976,153184250
2021-04-02,12:10,FPC1,PIC1:,308605347968,42026441716,307745494,159677268
2021-04-02,12:15,FPC0,PIC0:,158280017528,21687628575,154696211,84787459
2021-04-02,12:15,FPC0,PIC1:,292281200224,41148878232,291341568,152264598
2021-04-02,12:15,FPC1,PIC0:,319419329744,38726441571,312613096,150519077
2021-04-02,12:15,FPC1,PIC1:,302600614960,39959724305,301579664,155858408
2021-04-02,12:20,FPC0,PIC0:,158364867080,20115653792,154048557,78315746
2021-04-02,12:20,FPC0,PIC1:,290173436992,41741646999,288457816,151085221
2021-04-02,12:20,FPC1,PIC0:,313137632960,40507672166,302448342,152565206
2021-04-02,12:20,FPC1,PIC1:,322598187528,40211261816,318486353,156708984
2021-04-02,12:25,FPC0,PIC0:,160559825920,19567622572,154884498,77597742
2021-04-02,12:25,FPC0,PIC1:,300028471856,41863579668,292711546,151763727
2021-04-02,12:25,FPC1,PIC0:,314989976960,39789157767,301230870,149694590
2021-04-02,12:25,FPC1,PIC1:,309775950584,41375333640,304325219,155863943
2021-04-02,12:30,FPC0,PIC0:,158153382968,20046927429,152423477,75952738
2021-04-02,12:30,FPC0,PIC1:,303425076728,40581082572,293227879,150658460
2021-04-02,12:30,FPC1,PIC0:,313279490064,38530137132,298148532,148479197
2021-04-02,12:30,FPC1,PIC1:,315320559584,41473995132,305808780,154935545
2021-04-02,12:35,FPC0,PIC0:,160714341600,19120490031,153737106,76247529
2021-04-02,12:35,FPC0,PIC1:,305076743304,39881811233,292615817,148738098
2021-04-02,12:35,FPC1,PIC0:,320196222720,38932572361,303811552,150132976
2021-04-02,12:35,FPC1,PIC1:,320849249832,40911390703,308977055,154670439
2021-04-02,12:40,FPC0,PIC0:,161960156120,20307257572,155009597,77390464
2021-04-02,12:40,FPC0,PIC1:,306783712232,41367925594,294112685,150654470
2021-04-02,12:40,FPC1,PIC0:,325137829232,39262868474,307371476,150995636
2021-04-02,12:40,FPC1,PIC1:,320853989096,39630573671,308479387,153768582
2021-04-02,12:45,FPC0,PIC0:,162969734984,20422124826,154944765,76585171
2021-04-02,12:45,FPC0,PIC1:,312717161808,41617510516,296467134,150397759
2021-04-02,12:45,FPC1,PIC0:,324424097448,38270965358,303957733,147997339
2021-04-02,12:45,FPC1,PIC1:,318695903696,41438604721,306333624,153705524
2021-04-02,12:50,FPC0,PIC0:,170568510040,20162539681,158912435,76699760
2021-04-02,12:50,FPC0,PIC1:,315479517448,39756242253,295953509,147483737
2021-04-02,12:50,FPC1,PIC0:,324947460688,38742194273,303217216,146732283
2021-04-02,12:50,FPC1,PIC1:,325724892424,40219238823,309694557,152149062
2021-04-02,12:55,FPC0,PIC0:,167638919304,20673368354,156350411,76658779
2021-04-02,12:55,FPC0,PIC1:,317620872320,40067875536,296172086,146627973
2021-04-02,12:55,FPC1,PIC0:,328836756600,39543380989,304594929,146171508
2021-04-02,12:55,FPC1,PIC1:,336437695256,39666066824,314895125,151379716
2021-04-02,13:00,FPC0,PIC0:,164727806816,19882406777,153219578,74570238
2021-04-02,13:00,FPC0,PIC1:,317368439544,37880559244,292972699,143223238
2021-04-02,13:00,FPC1,PIC0:,328647130152,37936868426,301398919,142428200
2021-04-02,13:00,FPC1,PIC1:,329326888992,37312622485,307001388,148004391
2021-04-02,13:05,FPC0,PIC0:,161366468624,19406733738,150309140,73664156
2021-04-02,13:05,FPC0,PIC1:,321270728816,38279960967,295657384,145608484
2021-04-02,13:05,FPC1,PIC0:,325701727744,35542552379,297354630,141053322
2021-04-02,13:05,FPC1,PIC1:,324918793240,36703329948,302103355,146742373
2021-04-02,13:10,FPC0,PIC0:,163304531168,18973898828,150636854,72969439
2021-04-02,13:10,FPC0,PIC1:,319151718592,38635775594,292874914,143414754
2021-04-02,13:10,FPC1,PIC0:,328295248040,36414820266,298770619,141988297
2021-04-02,13:10,FPC1,PIC1:,325975838768,36528625146,300479424,144513543
2021-04-02,13:15,FPC0,PIC0:,164899925032,17926980828,150475875,71498711
2021-04-02,13:15,FPC0,PIC1:,319702796664,38528279775,292986833,143702102
2021-04-02,13:15,FPC1,PIC0:,322671063704,36586255572,294279549,140474954
2021-04-02,13:15,FPC1,PIC1:,321173879448,37802966245,295025219,141847090
2021-04-02,13:20,FPC0,PIC0:,165027130256,18541420922,150810454,71959041
2021-04-02,13:20,FPC0,PIC1:,322473521576,37056616848,292480633,142164720
2021-04-02,13:20,FPC1,PIC0:,321301202136,37599118047,292503291,140034163
2021-04-02,13:20,FPC1,PIC1:,323873753264,35480590160,296022896,140547500
2021-04-02,13:25,FPC0,PIC0:,164863378080,16908220524,149771462,70597217
2021-04-02,13:25,FPC0,PIC1:,319405622664,35675167092,289147457,138976085
2021-04-02,13:25,FPC1,PIC0:,324014711032,36527991037,293172699,138920773
2021-04-02,13:25,FPC1,PIC1:,333196592048,34731099033,300666142,139885850
2021-04-02,13:30,FPC0,PIC0:,165062721400,16668861933,149150321,69781423
2021-04-02,13:30,FPC0,PIC1:,322986694432,35861379655,291352760,139127538
2021-04-02,13:30,FPC1,PIC0:,324428007088,35084427429,291762726,137709199
2021-04-02,13:30,FPC1,PIC1:,325545791072,35085016803,295467780,139702663
2021-04-02,13:35,FPC0,PIC0:,162590546968,16983083073,147410349,69068602
2021-04-02,13:35,FPC0,PIC1:,315339385448,35299778855,285821763,136520453
