DATE, TIME, FPC, PIC, ENCAP_BYTES, ENCAP_PKTS, DECAP_BYTES, DECAP_PKTS

2021-04-07,00:00,FPC0,PIC0:,165431726976,11789916639,129903628,49037231
2021-04-07,00:00,FPC0,PIC1:,305242840888,22067795787,238565251,92747874
2021-04-07,00:00,FPC1,PIC0:,315912289144,23958214270,248009083,97895759
2021-04-07,00:00,FPC1,PIC1:,317439837184,23948898978,250013818,96376807
2021-04-07,00:05,FPC0,PIC0:,157506928144,11842433937,124377298,47539228
2021-04-07,00:05,FPC0,PIC1:,286896845304,19988528551,224983669,87761104
2021-04-07,00:05,FPC1,PIC0:,300509467976,22053063300,236144713,94708729
2021-04-07,00:05,FPC1,PIC1:,303183098208,23263243534,239294936,94107674
2021-04-07,00:10,FPC0,PIC0:,151126508912,11182812175,118944622,44914484
2021-04-07,00:10,FPC0,PIC1:,276235243080,20028265532,216631271,85029896
2021-04-07,00:10,FPC1,PIC0:,291104749168,22066725215,228475212,91078375
2021-04-07,00:10,FPC1,PIC1:,287765345368,22197036954,226739871,89514850
2021-04-07,00:15,FPC0,PIC0:,147093122752,10883602055,115960034,44540979
2021-04-07,00:15,FPC0,PIC1:,263415930688,18895388394,206602286,82291241
2021-04-07,00:15,FPC1,PIC0:,279587093472,21500837326,219749000,87680899
2021-04-07,00:15,FPC1,PIC1:,279728065656,21260010373,219688593,86035554
2021-04-07,00:20,FPC0,PIC0:,139017535352,11133633732,109894405,42931528
2021-04-07,00:20,FPC0,PIC1:,259851444552,18597372673,203189367,80852058
2021-04-07,00:20,FPC1,PIC0:,269086011392,22147061740,211676028,85108524
2021-04-07,00:20,FPC1,PIC1:,268236961280,21640128909,211189408,83585509
2021-04-07,00:25,FPC0,PIC0:,139960102872,11230983381,109877799,43038837
2021-04-07,00:25,FPC0,PIC1:,249927586720,18751424632,195383988,77116790
2021-04-07,00:25,FPC1,PIC0:,267261855312,19706494066,208735828,82981657
2021-04-07,00:25,FPC1,PIC1:,259486048480,21204607730,203557402,80195832
2021-04-07,00:30,FPC0,PIC0:,135100653808,10371655282,105889144,40488884
2021-04-07,00:30,FPC0,PIC1:,238085983536,17618716151,185859920,72455241
2021-04-07,00:30,FPC1,PIC0:,258525403544,18539254035,201066637,78086500
2021-04-07,00:30,FPC1,PIC1:,250883677968,19431930330,196789490,75676804
2021-04-07,00:35,FPC0,PIC0:,127136239544,9757663881,99993657,38658848
2021-04-07,00:35,FPC0,PIC1:,224588099840,17351024250,176061856,69397546
2021-04-07,00:35,FPC1,PIC0:,246043999608,17939148462,191966481,75782820
2021-04-07,00:35,FPC1,PIC1:,240010042888,19093775669,188984237,73315897
2021-04-07,00:40,FPC0,PIC0:,123443896800,8638512077,96593612,36530851
2021-04-07,00:40,FPC0,PIC1:,215932347696,16064640296,169100520,66432924
2021-04-07,00:40,FPC1,PIC0:,239261613056,16915125937,186872020,71986127
2021-04-07,00:40,FPC1,PIC1:,229536439632,17456445467,180023846,69267672
2021-04-07,00:45,FPC0,PIC0:,115987572336,7862338231,90643208,34167591
2021-04-07,00:45,FPC0,PIC1:,212315056952,14586632711,165115093,63756795
2021-04-07,00:45,FPC1,PIC0:,223656937824,15964726402,175371042,67448908
2021-04-07,00:45,FPC1,PIC1:,224932432128,17154986559,176032988,67429454
2021-04-07,00:50,FPC0,PIC0:,111436548160,7792068171,87301478,32338215
2021-04-07,00:50,FPC0,PIC1:,197139208328,14155560655,154417783,60266663
2021-04-07,00:50,FPC1,PIC0:,218939695232,15456182768,171284734,66290018
2021-04-07,00:50,FPC1,PIC1:,217310519280,15873019538,169953040,64241723
2021-04-07,00:55,FPC0,PIC0:,106416454272,7832676597,83418890,31669031
2021-04-07,00:55,FPC0,PIC1:,190929694280,13888782706,150004085,58626143
2021-04-07,00:55,FPC1,PIC0:,209872625096,14877366410,164000051,63887371
2021-04-07,00:55,FPC1,PIC1:,205436574184,15200911826,161160843,61526920
2021-04-07,01:00,FPC0,PIC0:,101107014840,6896040037,79545081,29540005
2021-04-07,01:00,FPC0,PIC1:,190292878392,13914157705,149102389,57708386
2021-04-07,01:00,FPC1,PIC0:,194272474024,14831793490,153214711,60290676
2021-04-07,01:00,FPC1,PIC1:,209211228928,15333109746,164190876,59811318
2021-04-07,01:05,FPC0,PIC0:,100077487728,6496390795,78401988,29578714
2021-04-07,01:05,FPC0,PIC1:,177751751736,13679402800,140137385,54822523
2021-04-07,01:05,FPC1,PIC0:,189218686160,15195925581,149387698,58981250
2021-04-07,01:05,FPC1,PIC1:,194493654784,14647613685,152639618,58832735
2021-04-07,01:10,FPC0,PIC0:,97539434664,6892488731,76637337,29116437
2021-04-07,01:10,FPC0,PIC1:,174354794216,11894708625,136893751,52693863
2021-04-07,01:10,FPC1,PIC0:,181491656352,14188559999,142681580,56549479
2021-04-07,01:10,FPC1,PIC1:,182282394536,14723096537,144056165,56142486
2021-04-07,01:15,FPC0,PIC0:,93055475400,6157557865,72697589,27663730
2021-04-07,01:15,FPC0,PIC1:,168099138624,11677576212,132250376,50624236
2021-04-07,01:15,FPC1,PIC0:,181909169472,13546502512,142529418,54959508
2021-04-07,01:15,FPC1,PIC1:,172451273056,14322694543,136908842,54371008
2021-04-07,01:20,FPC0,PIC0:,84992032736,7059542498,67434182,26828579
2021-04-07,01:20,FPC0,PIC1:,159608075008,11743633372,125895150,49415167
2021-04-07,01:20,FPC1,PIC0:,173396934568,12865436155,135774317,52830231
2021-04-07,01:20,FPC1,PIC1:,167554105376,13871348196,132867852,52674246
2021-04-07,01:25,FPC0,PIC0:,84253107456,6243558219,66276658,25519191
2021-04-07,01:25,FPC0,PIC1:,150261890288,11357921497,119248280,47205664
2021-04-07,01:25,FPC1,PIC0:,162410658032,12298587269,127612134,49601908
2021-04-07,01:25,FPC1,PIC1:,164346583600,13331747080,130492314,50907454
2021-04-07,01:30,FPC0,PIC0:,81648280952,5821892981,64285901,24955297
2021-04-07,01:30,FPC0,PIC1:,149092538376,11161573295,117753463,46215733
